archdesc-dsc-c01-c02-c03-c04-c05-c06-scopecontent-p,3919
archdesc-bioghist-chronlist-chronitem-event-corpname,6
archdesc-dsc-c01-scopecontent-list-item-expan,17
archdesc-dsc-c01-c02-c03-c04-c05-c06-did-container,55988
archdesc-dsc-c01-c02-c03-did-physloc-emph,1
archdesc-dsc-c01-c02-c03-c04-c05-did-unitid,77016
archdesc-dsc-c01-c02-c03-c04-scopecontent-p-p,2
archdesc-arrangement-p-list-item-list-item-title,256
archdesc-bioghist-p-list-item-list-item-list-item,9
archdesc-dsc-c01-c02-c03-c04-bioghist-p,26
archdesc-dsc-c01-accessrestrict-p,747
archdesc-arrangement-p-persname,1
archdesc-processinfo-p-title,12
archdesc-dsc-c01-arrangement-p-list-item-list-item-list-item,5
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-c09-scopecontent-p,25
archdesc-dsc-c01-c02-c03-did-origination-corpname,185
archdesc-dsc-c01-c02-scopecontent-p-em,1069
eadheader-profiledesc-creation-date,9547
archdesc-dsc-c01-c02-c03-c04-did-note-p,3729
archdesc-dsc-c01-c02-c03-controlaccess-title,2952
archdesc-dsc-c01-c02-bibliography-p,343
archdesc-separatedmaterial-list-item-list-item-list-item-title,491
archdesc-bioghist-note-p-title,1
archdesc-dsc-c01-c02-c03-c04-did-physloc,68
archdesc-did-abstract-chronlist-chronitem-date,74
archdesc-dsc-c01-c02-c03-c04-scopecontent-arrangement-p,1
archdesc-dsc-c01-scopecontent-list-item-abbr,17
archdesc-userestrict-p-list-item,5
archdesc-dsc-c01-c02-scopecontent-p-list-item-persname,177
archdesc-separatedmaterial-p-num,5
archdesc-dsc-c01-bioghist-p-date,1
archdesc-bibliography-bibref-em,63
archdesc-scopecontent-p-date,13
archdesc-arrangement-p-list-item-list-item-persname,27
archdesc-bioghist-p-chronlist-chronitem-event-title,13
eadheader-filedesc-titlestmt-sponsor-p,3
archdesc-dsc-c01-c02-c03-c04-c05-did-physdesc-br,4
archdesc-bioghist-note-list-item-bibref-imprint,2
archdesc-bioghist-chronlist-chronitem-event,451
archdesc-dsc-c01-bioghist-p-title,65
archdesc-accessrestrict-p-list-item,15
archdesc-relatedmaterial-head,1
archdesc-separatedmaterial-list-item,455
archdesc-dsc-c01-c02-scopecontent-list-item-item,156
archdesc-processinfo-p-emph,1
archdesc-bioghist-p-em,1711
archdesc-prefercite-p,9491
archdesc-separatedmaterial-list-head,15
archdesc-dsc-c01-c02-did-physdesc-title,15
archdesc-dsc-c01-scopecontent-p-name,1
archdesc-dsc-c01-scopecontent-p-em,2302
archdesc-scopecontent-arrangement-p,1
archdesc-bioghist-p-list-list-list-list,36
archdesc-dsc-c01-c02-did-physdesc,40769
archdesc-separatedmaterial-p,833
archdesc-scopecontent-chronlist-head,1
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-c09-did-container,903
archdesc-bioghist-p-note-p-title,1
archdesc-did-physdesc,440
archdesc-scopecontent-list-item,92
archdesc-scopecontent-p-subject,24
archdesc-dsc-c01-did-physdesc-dimensions,32
archdesc-dsc-c01-c02-c03-scopecontent-p-list-item-list-item-title,5
archdesc-separatedmaterial-list,1
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-c08-did-unitid,2202
archdesc-dsc-c01-c02-scopecontent-p-name,9
archdesc-dsc-c01-c02-c03-did-abstract,1112
archdesc-acqinfo-head,1
archdesc-separatedmaterial-head,7
archdesc-dsc-c01-appraisal-p,4
archdesc-dsc-c01-c02-arrangement-p,1311
archdesc-dsc-c01-c02-c03-scopecontent-p-em,7644
archdesc-dsc-c01-c02-c03-c04-scopecontent-p-num,3
archdesc-did-physdesc-extent,12191
archdesc-dsc-c01-c02-scopecontent-p-title-emph,5
archdesc-separatedmaterial-p-list-list-list-list,27
archdesc-arrangement-list-item-persname,2
archdesc-dsc-c01-c02-controlaccess-title,2911
archdesc-bioghist-p-bibref-persname,1
archdesc-dsc-c01-c02-scopecontent-note-p,19
archdesc-dsc-c01-c02-c03-did-physdesc-title,26
archdesc-dsc-c01-c02-c03-scopecontent-note-p-title,1
archdesc-dsc-c01-c02-did-physdesc-genreform,18
archdesc-dsc-c01-bioghist-p-em,25
archdesc-dsc-c01-c02-index-head,2
archdesc-dsc-c01-scopecontent-list-item-title,24
archdesc-dsc-c01-arrangement-list-item-date,7
archdesc-scopecontent-p-list-item-persname,86
archdesc-dsc-c01-c02-c03-c04-c05-controlaccess-genreform,2
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-did-physloc,1
archdesc-dsc-c01-scopecontent-p-extref,1
archdesc-dsc-c01-arrangement-list-item-title,32
archdesc-dsc-c01-c02-c03-c04-c05-c06-c07-dao,37
archdesc-dsc-c01-c02-controlaccess-famname,1
archdesc-relatedmaterial-p-list-item-archref,3
archdesc-dsc-c01-scopecontent-p-title-emph,4
archdesc-custodhist-p-emph,1
archdesc-dsc-c01-c02-did-unitid,239800
archdesc-bioghist-note-list-item-bibref-title,5
archdesc-dsc-c01-arrangement-p,1825
archdesc-dsc-c01-c02-c03-scopecontent-p-list-item,85
archdesc-acqinfo-note-p,1
archdesc-dsc-c01-custodhist-p,1
archdesc-dsc-c01-c02-c03-c04-c05-did-unitdate,34985
archdesc-arrangement-list-item-persname-emph,1
archdesc-dsc-c01-bioghist-p-list-item-title,14
archdesc-dsc-c01-originalsloc-p,1700
archdesc-bioghist-chronlist-chronitem-event-emph,104
archdesc-dsc-c01-c02-scopecontent-p-list-item-list-item,4
archdesc-scopecontent-p-cc,1
eadheader-filedesc-publicationstmt-publisher,9547
archdesc-acqinfo-p-emph,2
archdesc-separatedmaterial-list-item-list-item,876
archdesc-dsc-c01-c02-c03-c04-controlaccess-subject,21
archdesc-scopecontent-list-item-abbr,29
archdesc-dsc-c01-did-unitdate,33305
archdesc-dsc-c01-c02-c03-c04-scopecontent-p-em,473
archdesc-dsc-c01-c02-c03-c04-did-langmaterial,1
archdesc-dsc-c01-c02-c03-c04-c05-scopecontent-p,17207
archdesc-arrangement-p-list-item-list-item,1593
archdesc-scopecontent-p-emph-emph,4
archdesc-dsc-c01-c02-c03-c04-custodhist-p,7
archdesc-dsc-c01-c02-c03-did-physdesc-physfacet,16
archdesc-dsc-c01-c02-c03-c04-controlaccess-corpname,1411
archdesc-dsc-c01-c02-c03-c04-c05-did-unittitle,72128
archdesc-dsc-c01-c02-c03-c04-scopecontent-p-persname,17
archdesc-relatedmaterial-p-archref,13
archdesc-bioghist-bioghist-chronlist-chronitem-date,38
archdesc-dsc-c01-c02-did-abstract,3980
archdesc-bioghist-head,8
archdesc-did-abstract-date,2
archdesc-scopecontent-chronlist-chronitem-event-title,21
archdesc-dsc-c01-c02-c03-c04-did-physdesc-extent,9829
archdesc-arrangement-p,1680
archdesc-dsc-c01-c02-c03-c04-scopecontent-list-item,110
archdesc-controlaccess-famname,978
archdesc-arrangement-list-item-list-item-list-item,2
archdesc-scopecontent-blockquote-p,2
